ID	Cell Type	Cell Subtype
196775	colorectal_tumor	colorectal_tumor (EMT-high)
196790	colorectal_tumor	colorectal_tumor (EMT-high)
196793	B_cells	B_cells (plasma)
196794	colorectal_tumor	colorectal_tumor (EMT-high)
196800	Fibroblasts	Fibroblasts (iCAF)
196805	Mac_LA	Mac_LA (TREM2-high)
196806	Fibroblasts	Fibroblasts (LRRC15+)
196807	colorectal_tumor	colorectal_tumor (KRAS-high)
196808	colorectal_tumor	colorectal_tumor (MYC-high)
196811	RTM_LA	RTM_LA (FOLR2-high)
196817	colorectal_tumor	colorectal_tumor (KRAS-high)
196833	colorectal_tumor	colorectal_tumor (KRAS-high)
196839	colorectal_tumor	colorectal_tumor (EMT-high)
196843	colorectal_tumor	colorectal_tumor (KRAS-high)
196845	RTM_LA	RTM_LA (FOLR2-high)
196853	colorectal_tumor	colorectal_tumor (MYC-high)
196854	colorectal_tumor	colorectal_tumor (WNT-high)
196860	colorectal_tumor	colorectal_tumor (EMT-high)
196861	colorectal_tumor	colorectal_tumor (MYC-high)
196867	colorectal_tumor	colorectal_tumor (WNT-high)
196868	TCD4_reg	TCD4_reg (TIGIT-high)
196875	colorectal_tumor	colorectal_tumor (MSI)
196879	colorectal_tumor	colorectal_tumor (WNT-high)
196880	Endothelial	Endothelial (arterial)
196883	Fibroblasts	Fibroblasts (iCAF)
196885	RTM_LA	RTM_LA (C1Q-high)
196890	Fibroblasts	Fibroblasts (LRRC15+)
196894	colorectal_tumor	colorectal_tumor (MSI)
196896	colorectal_tumor	colorectal_tumor (MYC-high)
196898	Mac_LA	Mac_LA (TREM2-high)
196900	Mac_LA	Mac_LA (SPP1-high)
196901	colorectal_tumor	colorectal_tumor (MYC-high)
196906	RTM_LA	RTM_LA (FOLR2-high)
196916	colorectal_tumor	colorectal_tumor (MSI)
196919	Fibroblasts	Fibroblasts (myCAF)
196923	colorectal_tumor	colorectal_tumor (WNT-high)
196928	Fibroblasts	Fibroblasts (LRRC15+)
196929	colorectal_tumor	colorectal_tumor (EMT-high)
196931	Endothelial	Endothelial (arterial)
196933	colorectal_tumor	colorectal_tumor (KRAS-high)
196937	colorectal_tumor	colorectal_tumor (MYC-high)
196939	colorectal_tumor	colorectal_tumor (WNT-high)
196940	Endothelial	Endothelial (venous)
196941	Fibroblasts	Fibroblasts (myCAF)
196942	Endothelial	Endothelial (venous)
196943	Mac_LA	Mac_LA (SPP1-high)
196945	colorectal_tumor	colorectal_tumor (EMT-high)
196952	colorectal_tumor	colorectal_tumor (MSI)
196954	Fibroblasts	Fibroblasts (myCAF)
196955	colorectal_tumor	colorectal_tumor (MSI)
196956	Endothelial	Endothelial (arterial)
196964	Endothelial	Endothelial (venous)
196969	Fibroblasts	Fibroblasts (iCAF)
196972	colorectal_tumor	colorectal_tumor (WNT-high)
196974	colorectal_tumor	colorectal_tumor (EMT-high)
196977	colorectal_tumor	colorectal_tumor (KRAS-high)
196978	B_cells	B_cells (plasma)
196981	colorectal_tumor	colorectal_tumor (KRAS-high)
196983	colorectal_tumor	colorectal_tumor (MYC-high)
196986	B_cells	B_cells (plasma)
196988	colorectal_tumor	colorectal_tumor (KRAS-high)
196990	RTM_LA	RTM_LA (C1Q-high)
196997	colorectal_tumor	colorectal_tumor (EMT-high)
197004	Fibroblasts	Fibroblasts (iCAF)
197006	Fibroblasts	Fibroblasts (LRRC15+)
197012	colorectal_tumor	colorectal_tumor (MYC-high)
197019	colorectal_tumor	colorectal_tumor (WNT-high)
197020	colorectal_tumor	colorectal_tumor (MYC-high)
197026	colorectal_tumor	colorectal_tumor (EMT-high)
197027	colorectal_tumor	colorectal_tumor (KRAS-high)
197028	colorectal_tumor	colorectal_tumor (WNT-high)
197032	colorectal_tumor	colorectal_tumor (MYC-high)
197039	colorectal_tumor	colorectal_tumor (EMT-high)
197047	Fibroblasts	Fibroblasts (myCAF)
197053	colorectal_tumor	colorectal_tumor (MSI)
197054	Mac_LA	Mac_LA (SPP1-high)
197057	colorectal_tumor	colorectal_tumor (EMT-high)
197058	colorectal_tumor	colorectal_tumor (KRAS-high)
197060	Fibroblasts	Fibroblasts (myCAF)
197062	colorectal_tumor	colorectal_tumor (MSI)
197064	Fibroblasts	Fibroblasts (myCAF)
197065	colorectal_tumor	colorectal_tumor (MYC-high)
197066	Fibroblasts	Fibroblasts (iCAF)
197069	colorectal_tumor	colorectal_tumor (KRAS-high)
197073	B_cells	B_cells (naive)
197077	colorectal_tumor	colorectal_tumor (EMT-high)
197084	colorectal_tumor	colorectal_tumor (WNT-high)
197090	TCD4_reg	TCD4_reg (TIGIT-high)
197092	Fibroblasts	Fibroblasts (iCAF)
197095	colorectal_tumor	colorectal_tumor (WNT-high)
197113	colorectal_tumor	colorectal_tumor (WNT-high)
197117	colorectal_tumor	colorectal_tumor (EMT-high)
197121	Mac_LA	Mac_LA (SPP1-high)
197125	colorectal_tumor	colorectal_tumor (EMT-high)
197132	colorectal_tumor	colorectal_tumor (MSI)
197136	colorectal_tumor	colorectal_tumor (MSI)
197145	colorectal_tumor	colorectal_tumor (WNT-high)
197146	colorectal_tumor	colorectal_tumor (EMT-high)
197150	Mast_cells	Mast_cells (TPSAB1-high)
197151	colorectal_tumor	colorectal_tumor (MSI)
197162	RTM_LA	RTM_LA (C1Q-high)
197168	colorectal_tumor	colorectal_tumor (MSI)
197173	Fibroblasts	Fibroblasts (LRRC15+)
197176	B_cells	B_cells (GC)
197180	colorectal_tumor	colorectal_tumor (KRAS-high)
