ID	Cell Type	Cell Subtype
198427	Fibroblasts	Fibroblasts (LRRC15+)
198428	RTM_LA	RTM_LA (FOLR2-high)
198434	colorectal_tumor	colorectal_tumor (MSI)
198439	colorectal_tumor	colorectal_tumor (EMT-high)
198440	colorectal_tumor	colorectal_tumor (EMT-high)
198446	colorectal_tumor	colorectal_tumor (EMT-high)
198448	colorectal_tumor	colorectal_tumor (MYC-high)
198450	colorectal_tumor	colorectal_tumor (WNT-high)
198451	colorectal_tumor	colorectal_tumor (KRAS-high)
198452	Fibroblasts	Fibroblasts (LRRC15+)
198453	colorectal_tumor	colorectal_tumor (WNT-high)
198460	colorectal_tumor	colorectal_tumor (EMT-high)
198462	TCD8_naive	TCD8_naive (PDCD1-high)
198466	colorectal_tumor	colorectal_tumor (WNT-high)
198470	Fibroblasts	Fibroblasts (myCAF)
198476	Fibroblasts	Fibroblasts (LRRC15+)
198477	Mast_cells	Mast_cells (TPSAB1-high)
